CCTV-7,http://1.196.82.213:888/hls/7/index.m3u8
CCTV-8,http://1.196.82.213:888/hls/8/index.m3u8
CCTV-9,http://1.196.82.213:888/hls/9/index.m3u8
CCTV国防军事,http://1.196.82.213:888/hls/74/index.m3u8
CCTV第一剧场,http://1.196.82.213:888/hls/73/index.m3u8
CCTV风云音乐,http://1.196.82.213:888/hls/72/index.m3u8
东南卫视,http://1.196.82.213:888/hls/58/index.m3u8
云南卫视,http://1.196.82.213:888/hls/54/index.m3u8
人文地理记录,http://1.196.82.213:888/hls/37/index.m3u8
优漫卡通,http://1.196.82.213:888/hls/71/index.m3u8
公共频道,http://1.196.82.213:888/hls/26/index.m3u8
内蒙古卫视,http://1.196.82.213:888/hls/59/index.m3u8
卡酷动画,http://1.196.82.213:888/hls/67/index.m3u8
吉林卫视,http://1.196.82.213:888/hls/56/index.m3u8
嘉佳卡通,http://1.196.82.213:888/hls/66/index.m3u8
四川卫视,http://1.196.82.213:888/hls/51/index.m3u8
天津卫视,http://1.196.82.213:888/hls/53/index.m3u8
宁夏卫视,http://1.196.82.213:888/hls/57/index.m3u8
安徽卫视,http://1.196.82.213:888/hls/43/index.m3u8
山东卫视,http://1.196.82.213:888/hls/42/index.m3u8
山西卫视,http://1.196.82.213:888/hls/61/index.m3u8
广东卫视,http://1.196.82.213:888/hls/41/index.m3u8
广西卫视,http://1.196.82.213:888/hls/60/index.m3u8
文物宝库,http://1.196.82.213:888/hls/30/index.m3u8
新农村频道,http://1.196.82.213:888/hls/27/index.m3u8
新疆卫视,http://1.196.82.213:888/hls/69/index.m3u8
新闻频道,http://1.196.82.213:888/hls/24/index.m3u8
晴彩中原,http://1.196.82.213:888/hls/28/index.m3u8
梨园频道,http://1.196.82.213:888/hls/31/index.m3u8
棋牌会,http://1.196.82.213:888/hls/34/index.m3u8
欢乐购物,http://1.196.82.213:888/hls/25/index.m3u8
武术世界,http://1.196.82.213:888/hls/32/index.m3u8
民生频道,http://1.196.82.213:888/hls/21/index.m3u8
江苏卫视,http://1.196.82.213:888/hls/40/index.m3u8
江西卫视,http://1.196.82.213:888/hls/48/index.m3u8
河北卫视,http://1.196.82.213:888/hls/47/index.m3u8
河南卫视,http://1.196.82.213:888/hls/38/index.m3u8
法治频道,http://1.196.82.213:888/hls/22/index.m3u8
浙江卫视,http://1.196.82.213:888/hls/39/index.m3u8
海南卫视,http://1.196.82.213:888/hls/62/index.m3u8
深圳卫视,http://1.196.82.213:888/hls/50/index.m3u8
湖北卫视,http://1.196.82.213:888/hls/52/index.m3u8
湖南卫视,http://1.196.82.213:888/hls/49/index.m3u8
炫动卡通,http://1.196.82.213:888/hls/68/index.m3u8
甘肃卫视,http://1.196.82.213:888/hls/63/index.m3u8
电视剧频道,http://1.196.82.213:888/hls/23/index.m3u8
百姓调解,http://1.196.82.213:888/hls/35/index.m3u8
移动戏曲,http://1.196.82.213:888/hls/29/index.m3u8
美食汇,http://1.196.82.213:888/hls/33/index.m3u8
西藏卫视,http://1.196.82.213:888/hls/70/index.m3u8
贵州卫视,http://1.196.82.213:888/hls/46/index.m3u8
辽宁卫视,http://1.196.82.213:888/hls/45/index.m3u8
都市频道,http://1.196.82.213:888/hls/20/index.m3u8
重庆卫视,http://1.196.82.213:888/hls/55/index.m3u8
金鹰卡通,http://1.196.82.213:888/hls/65/index.m3u8
陕西卫视,http://1.196.82.213:888/hls/44/index.m3u8
青海卫视,http://1.196.82.213:888/hls/64/index.m3u8
风尚河南,http://1.196.82.213:888/hls/36/index.m3u8

1.198.10.11:5000,#genre#
CCTV-1,http://1.198.10.11:5000/hls/1/index.m3u8
CCTV-10,http://1.198.10.11:5000/hls/10/index.m3u8
CCTV-11,http://1.198.10.11:5000/hls/11/index.m3u8
CCTV-12,http://1.198.10.11:5000/hls/12/index.m3u8
CCTV-13,http://1.198.10.11:5000/hls/13/index.m3u8
CCTV-14,http://1.198.10.11:5000/hls/14/index.m3u8
CCTV-15,http://1.198.10.11:5000/hls/15/index.m3u8
CCTV-2,http://1.198.10.11:5000/hls/2/index.m3u8
CCTV-3,http://1.198.10.11:5000/hls/3/index.m3u8
CCTV-4,http://1.198.10.11:5000/hls/4/index.m3u8
CCTV-5,http://1.198.10.11:5000/hls/5/index.m3u8
CCTV-6,http://1.198.10.11:5000/hls/6/index.m3u8
CCTV-7,http://1.198.10.11:5000/hls/7/index.m3u8
CCTV-8,http://1.198.10.11:5000/hls/8/index.m3u8
CCTV-9,http://1.198.10.11:5000/hls/9/index.m3u8
东南卫视,http://1.198.10.11:5000/hls/24/index.m3u8
东方卫视,http://1.198.10.11:5000/hls/26/index.m3u8
云南卫视,http://1.198.10.11:5000/hls/28/index.m3u8
北京卫视,http://1.198.10.11:5000/hls/20/index.m3u8
吉林卫视,http://1.198.10.11:5000/hls/31/index.m3u8
四川,http://1.198.10.11:5000/hls/37/index.m3u8
天津卫视,http://1.198.10.11:5000/hls/27/index.m3u8
安徽卫视,http://1.198.10.11:5000/hls/32/index.m3u8
山东卫视,http://1.198.10.11:5000/hls/33/index.m3u8
山西卫视,http://1.198.10.11:5000/hls/35/index.m3u8
广东,http://1.198.10.11:5000/hls/40/index.m3u8
民生,http://1.198.10.11:5000/hls/18/index.m3u8
江苏卫视,http://1.198.10.11:5000/hls/22/index.m3u8
江西卫视,http://1.198.10.11:5000/hls/34/index.m3u8
河北卫视,http://1.198.10.11:5000/hls/29/index.m3u8
河南卫视,http://1.198.10.11:5000/hls/16/index.m3u8
法制,http://1.198.10.11:5000/hls/19/index.m3u8
浙江卫视,http://1.198.10.11:5000/hls/25/index.m3u8
深圳,http://1.198.10.11:5000/hls/38/index.m3u8
湖北卫视,http://1.198.10.11:5000/hls/30/index.m3u8
湖南卫视,http://1.198.10.11:5000/hls/21/index.m3u8
甘肃,http://1.198.10.11:5000/hls/39/index.m3u8
辽宁卫视,http://1.198.10.11:5000/hls/23/index.m3u8
都市频道,http://1.198.10.11:5000/hls/17/index.m3u8
陕西卫视,http://1.198.10.11:5000/hls/36/index.m3u8

1.198.192.130:8888,#genre#
CCTV-1,http://1.198.192.130:8888/hls/1/index.m3u8
CCTV-10,http://1.198.192.130:8888/hls/10/index.m3u8
CCTV-11,http://1.198.192.130:8888/hls/11/index.m3u8
CCTV-12,http://1.198.192.130:8888/hls/12/index.m3u8
CCTV-13,http://1.198.192.130:8888/hls/13/index.m3u8
CCTV-14,http://1.198.192.130:8888/hls/14/index.m3u8
CCTV-15,http://1.198.192.130:8888/hls/15/index.m3u8
CCTV-2,http://1.198.192.130:8888/hls/2/index.m3u8
CCTV-3,http://1.198.192.130:8888/hls/3/index.m3u8
CCTV-4,http://1.198.192.130:8888/hls/4/index.m3u8
CCTV-5,http://1.198.192.130:8888/hls/5/index.m3u8
CCTV-6,http://1.198.192.130:8888/hls/6/index.m3u8
CCTV-7,http://1.198.192.130:8888/hls/7/index.m3u8
CCTV-8,http://1.198.192.130:8888/hls/8/index.m3u8
