1.31.14.70:54321,#genre#
IPTV8+,http://113.88.209.178:9898/hls/18/index.m3u8
IPTV小品,http://113.200.114.168:20000/hls/46/index.m3u8
IPTV少儿动画,http://113.88.209.178:9898/hls/72/index.m3u8
IPTV经典电影,http://113.88.209.178:9898/hls/71/index.m3u8
IPTV谍战剧场,http://113.88.209.178:9898/hls/70/index.m3u8
LDetv,http://42.48.31.149:808/hls/132/index.m3u8
NBTV1,http://223.95.198.3:8000/hls/48/index.m3u8
NBTV2,http://223.95.198.3:8000/hls/49/index.m3u8
Q亳州农村,http://120.209.208.163:5080/hls/3/index.m3u8
Q亳州新闻,http://120.209.208.163:5080/hls/2/index.m3u8
TVS1广东经济科教,http://113.88.209.178:9898/hls/24/index.m3u8
TVS2广东经济科教,http://113.88.209.178:9898/hls/25/index.m3u8
三沙兵团,http://113.200.114.168:20000/hls/47/index.m3u8
三沙卫视,http://42.48.31.149:808/hls/126/index.m3u8
上海,http://124.93.18.238:81/hls/25/index.m3u8
上海都市,http://101.95.21.250:10081/hls/47/index.m3u8
世界地理,http://219.139.124.61:8089/hls/38/index.m3u8
东北热剧,http://111.43.126.240:7777/hls/78/index.m3u8
东南卫视,http://61.240.150.5:81/hls/34/index.m3u8
东方卫视,http://61.240.150.5:81/hls/32/index.m3u8
中国交通,http://111.14.222.117:3333/hls/55/index.m3u8
中国功夫,http://111.43.126.240:7777/hls/96/index.m3u8
中国天气,http://42.48.31.149:808/hls/82/index.m3u8
中国教育,http://116.228.170.214:888/hls/19/index.m3u8
中国教育1,http://58.255.201.110:808/hls/44/index.m3u8
中央一台,http://42.49.176.207:808/hls/1/index.m3u8
中央七台,http://42.49.176.207:808/hls/8/index.m3u8
中央三台,http://42.49.176.207:808/hls/3/index.m3u8
中央九台,http://42.49.176.207:808/hls/10/index.m3u8
中央二台,http://42.49.176.207:808/hls/2/index.m3u8
中央五台,http://42.49.176.207:808/hls/5/index.m3u8
中央八台,http://42.49.176.207:808/hls/9/index.m3u8
中央六台,http://42.49.176.207:808/hls/7/index.m3u8
中央十一台,http://42.49.176.207:808/hls/12/index.m3u8
中央十七台,http://42.49.176.207:808/hls/17/index.m3u8
中央十三台,http://42.49.176.207:808/hls/14/index.m3u8
中央十二台,http://42.49.176.207:808/hls/13/index.m3u8
中央十五台,http://42.49.176.207:808/hls/16/index.m3u8
中央十台,http://42.49.176.207:808/hls/11/index.m3u8
中央十四台,http://42.49.176.207:808/hls/15/index.m3u8
中央四台,http://42.49.176.207:808/hls/4/index.m3u8
中学生,http://175.20.39.188:888/hls/91/index.m3u8
乌兰察布新闻,http://1.24.39.180:808/hls/26/index.m3u8
乌兰察布经济生活,http://1.24.39.180:808/hls/24/index.m3u8
乐游,http://175.20.39.188:888/hls/109/index.m3u8
乡村频道,http://39.164.138.145:8899/hls/25/index.m3u8
书画,http://175.20.39.188:888/hls/94/index.m3u8
云南卫视,http://61.240.150.5:81/hls/47/index.m3u8
五星体育,http://101.95.21.250:10081/hls/48/index.m3u8
优漫卡通,http://42.48.31.149:808/hls/66/index.m3u8
