175.18.215.204:81,#genre#
环球奇观,http://175.18.215.204:81/hls/68/index.m3u8
都市剧场,http://175.18.215.204:81/hls/64/index.m3u8
金鹰纪实,http://175.18.215.204:81/hls/65/index.m3u8
长影频道,http://175.18.215.204:81/hls/63/index.m3u8
CETV1,http://175.18.215.204:81/hls/66/index.m3u8
CRT 长春综合,http://175.18.215.204:81/hls/62/index.m3u8
前郭TV1,http://175.18.215.204:81/hls/51/index.m3u8
吉林乡村,http://175.18.215.204:81/hls/56/index.m3u8
吉林影视,http://175.18.215.204:81/hls/54/index.m3u8
吉林生活,http://175.18.215.204:81/hls/55/index.m3u8
吉林综艺,http://175.18.215.204:81/hls/53/index.m3u8
吉林都市,http://175.18.215.204:81/hls/52/index.m3u8
扶余,http://175.18.215.204:81/hls/67/index.m3u8
松原,http://175.18.215.204:81/hls/57/index.m3u8
松原公共,http://175.18.215.204:81/hls/58/index.m3u8


1.196.157.124:999,#genre#
CCTV1,http://1.196.157.124:999/hls/1/index.m3u8
CCTV2,http://1.196.157.124:999/hls/2/index.m3u8
CCTV3,http://1.196.157.124:999/hls/3/index.m3u8
CCTV4,http://1.196.157.124:999/hls/4/index.m3u8
CCTV5,http://1.196.157.124:999/hls/5/index.m3u8
CCTV6,http://1.196.157.124:999/hls/6/index.m3u8
CCTV7,http://1.196.157.124:999/hls/7/index.m3u8
CCTV8,http://1.196.157.124:999/hls/8/index.m3u8


125.46.179.164:60000,#genre#
CCTV-1 综合,http://125.46.179.164:60000/hls/1/index.m3u8
CCTV-2 财经,http://125.46.179.164:60000/hls/2/index.m3u8
CCTV-3 综艺,http://125.46.179.164:60000/hls/3/index.m3u8
CCTV-5 体育,http://125.46.179.164:60000/hls/5/index.m3u8
CCTV-6 电影,http://125.46.179.164:60000/hls/6/index.m3u8
CCTV-7 国防军事,http://125.46.179.164:60000/hls/7/index.m3u8
CCTV-8 电视剧,http://125.46.179.164:60000/hls/8/index.m3u8
CCTV-9 纪录,http://125.46.179.164:60000/hls/9/index.m3u8
CCTV-10 科教,http://125.46.179.164:60000/hls/10/index.m3u8
CCTV-12 社会与法,http://125.46.179.164:60000/hls/12/index.m3u8
CCTV-14 少儿,http://125.46.179.164:60000/hls/14/index.m3u8
东方卫视,http://125.46.179.164:60000/hls/21/index.m3u8
云南卫视,http://125.46.179.164:60000/hls/30/index.m3u8
北京卫视,http://125.46.179.164:60000/hls/20/index.m3u8
四川卫视,http://125.46.179.164:60000/hls/28/index.m3u8
